"Algorithm","Hash","Path"
"SHA256","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","A118A8C2E348925CF5118F0118F2D8231E557C84F2A639A5F620CA48FD5635C8","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","C6B907D44413A3497AD4D9F093B698DC128F8D17F82072A4441F90B881B265E1","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","EBF68DB1D9EC25B152DB4055CB8C9EFB545F35AEBE74D974D0D28B254CA7F4C3","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","147F043772A6183C08F652FC94CF98781B37321F70A51950493FC264D957B2B6","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","B9D1075A304E661740A8D59AC0764869DDC072E51DDA6701AF754F06210579F3","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","B7D9C41865EFBE7FD0346B60EB5B1AC26645B88E3B2AAB2FD8DF6F25FD5CB2AC","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","AA9120C7075AA80B9FAA97ABA997A3269A1745D944C02C14400E727E6C2F16D3","C:\LAB3\Evidence\start_time.txt"
"SHA256","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
